id,pickup_point,driver_id,status,request_timestamp,drop_timestamp,amount
4198,Airport,13,Trip Completed,14-07-2016 05:32:14,14-07-2016 06:45:32,100
4627,City,13,Trip Completed,14-07-2016 11:13:19,14-07-2016 12:00:12,100
5289,City,13,Trip Completed,14-07-2016 21:43:24,14-07-2016 22:24:13,100
5495,Airport,13,Trip Completed,15-07-2016 05:00:13,15-07-2016 06:02:27,100
6656,Airport,13,Trip Completed,15-07-2016 22:08:42,15-07-2016 22:41:18,100
3346,City,14,Trip Completed,13-07-2016 13:01:42,13-07-2016 13:55:59,100
5294,City,14,Trip Completed,14-07-2016 21:45:50,14-07-2016 22:16:40,100
6226,Airport,14,Trip Completed,15-07-2016 17:34:25,15-07-2016 18:33:13,100
6733,Airport,14,Trip Completed,15-07-2016 23:32:44,16-07-2016 00:37:46,100
3200,City,15,Trip Completed,13-07-2016 09:39:44,13-07-2016 10:30:58,100
3865,City,15,Trip Completed,13-07-2016 21:52:05,13-07-2016 22:21:15,100
4468,City,15,Trip Completed,14-07-2016 08:42:46,14-07-2016 09:22:01,100
5163,Airport,15,Trip Completed,14-07-2016 20:34:30,14-07-2016 21:05:18,100
6009,City,15,Trip Completed,15-07-2016 12:22:35,15-07-2016 13:25:27,100
6448,Airport,15,Trip Completed,15-07-2016 20:02:54,15-07-2016 20:40:45,100
2808,City,16,Trip Completed,13-07-2016 05:05:16,13-07-2016 05:56:11,100
3258,Airport,16,Trip Completed,13-07-2016 10:12:51,13-07-2016 10:45:28,100
3413,Airport,16,Trip Completed,13-07-2016 15:32:01,13-07-2016 16:45:44,100
3939,Airport,16,Trip Completed,13-07-2016 22:26:26,13-07-2016 22:55:54,100
4125,City,16,Trip Completed,14-07-2016 04:37:11,14-07-2016 05:46:29,100
4457,City,16,Trip Completed,14-07-2016 08:36:24,14-07-2016 09:19:20,100
4728,City,16,Trip Completed,14-07-2016 14:04:13,14-07-2016 15:06:40,100
5347,Airport,16,Trip Completed,14-07-2016 22:51:47,14-07-2016 23:53:42,100
6147,City,16,Trip Completed,15-07-2016 16:11:02,15-07-2016 17:30:08,100
6496,Airport,16,Trip Completed,15-07-2016 20:33:00,15-07-2016 21:32:49,100
3021,City,17,Trip Completed,13-07-2016 07:33:20,13-07-2016 08:26:07,100
4743,City,17,Trip Completed,14-07-2016 14:54:16,14-07-2016 15:39:03,100
4981,City,17,Trip Completed,14-07-2016 18:47:42,14-07-2016 19:43:44,100
5367,Airport,17,Trip Completed,14-07-2016 23:35:34,15-07-2016 00:25:26,100
5471,Airport,17,Trip Completed,15-07-2016 04:48:57,15-07-2016 05:47:13,100
5988,Airport,17,Trip Completed,15-07-2016 11:48:32,15-07-2016 12:55:02,100
6477,Airport,17,Trip Completed,15-07-2016 20:21:26,15-07-2016 21:00:31,100
